Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,continent,country_code,Continent_AF,Continent_AS,Continent_EU,Continent_NA,Continent_OC,Continent_SA,Country_US,Country_CN
Ayman Hariri,1.3,Lebanon,"construction, investments",2263,42.0,"Paris, France",Lebanon,Married,3.0,"Bachelor of Arts/Science, Georgetown University",False,AS,LB,0,1,0,0,0,0,0,0
Michael Heine,1.3,Australia,financial services,2263,71.0,"Melbourne, Australia",Australia,,2.0,,True,OC,AU,0,0,0,0,1,0,0,0
Eduardo Hochschild,1.3,Peru,mining,2263,57.0,"Lima, Peru",Peru,Married,4.0,"Bachelor of Arts/Science, Tufts University",False,SA,PE,0,0,0,0,0,1,0,0
Huang Dawen,1.3,Hong Kong,silicon,2263,60.0,"Hong Kong, Hong Kong",Hong Kong,,,,True,AS,HK,0,1,0,0,0,0,0,0
Huang Shan,1.3,China,software,2263,,,,,,,,AS,CN,0,1,0,0,0,0,0,1
Jiang Ganjun,1.3,China,home & office products,2263,57.0,"Guangzhou, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Conni Jonsson,1.3,Sweden,asset management,2263,60.0,"Stockholm, Sweden",Sweden,Married,,,True,EU,SE,0,0,1,0,0,0,0,0
Zbigniew Juroszek & family,1.3,Poland,"real estate, gambling",2263,58.0,"Cieszyn, Poland",Poland,,,,True,EU,PL,0,0,1,0,0,0,0,0
André Kasprzak,1.3,Denmark,shoes,2263,34.0,Denmark,Denmark,,,,False,EU,DK,0,0,1,0,0,0,0,0
Anna Kasprzak,1.3,Denmark,shoes,2263,31.0,"Haderslev, Denmark",Denmark,In Relationship,1.0,,False,EU,DK,0,0,1,0,0,0,0,0
Peter Kelly,1.3,United Kingdom,I.T.,2263,63.0,"Bristol, United Kingdom",United Kingdom,Married,,,True,EU,GB,0,0,1,0,0,0,0,0
Kim Nam-jung,1.3,South Korea,food,2263,48.0,"Seoul, South Korea",South Korea,Married,2.0,"Bachelor of Arts/Science, Korea University; Master of Business Administration, University of Michigan, Stephen M. Ross School of Business",False,AS,KR,0,1,0,0,0,0,0,0
Hemendra Kothari,1.3,India,Financial Services,2263,74.0,"Mumbai, India",India,Widowed,2.0,"Bachelor of Arts/Economics, Bombay University",False,AS,IN,0,1,0,0,0,0,0,0
